"Kod";"Nazwa";"Zakres przedmiotowy";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2019";104,4;"%";"";
0200000;"DOLNOŚLĄSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2020";0,0;"%";"n";
0200000;"DOLNOŚLĄSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2021";;"%";"n";
0400000;"KUJAWSKO-POMORSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2000";0,0;"%";"x";
0400000;"KUJAWSKO-POMORSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2001";0,0;"%";"x";
0400000;"KUJAWSKO-POMORSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2002";0,0;"%";"x";
0400000;"KUJAWSKO-POMORSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2003";0,0;"%";"x";
0400000;"KUJAWSKO-POMORSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2004";106,3;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2005";102,5;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2006";106,9;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2007";107,0;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2008";103,8;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2009";99,1;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2010";103,1;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2011";103,6;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2012";100,4;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2013";101,5;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2014";102,5;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2015";104,0;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2016";102,5;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2017";104,0;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2018";105,5;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2019";103,1;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2020";0,0;"%";"n";
0400000;"KUJAWSKO-POMORSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2021";;"%";"n";
0600000;"LUBELSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2000";0,0;"%";"x";
0600000;"LUBELSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2001";0,0;"%";"x";
0600000;"LUBELSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2002";0,0;"%";"x";
0600000;"LUBELSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2003";0,0;"%";"x";
0600000;"LUBELSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2004";102,8;"%";"";
0600000;"LUBELSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2005";102,1;"%";"";
0600000;"LUBELSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2006";105,0;"%";"";
0600000;"LUBELSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2007";106,4;"%";"";
0600000;"LUBELSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2008";105,4;"%";"";
0600000;"LUBELSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2009";101,1;"%";"";
0600000;"LUBELSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2010";104,1;"%";"";
0600000;"LUBELSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2011";105,4;"%";"";
0600000;"LUBELSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2012";101,8;"%";"";
0600000;"LUBELSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2013";101,9;"%";"";
0600000;"LUBELSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2014";102,6;"%";"";
0600000;"LUBELSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2015";102,0;"%";"";
0600000;"LUBELSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2016";103,3;"%";"";
0600000;"LUBELSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2017";104,1;"%";"";
0600000;"LUBELSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2018";103,1;"%";"";
0600000;"LUBELSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2019";105,2;"%";"";
0600000;"LUBELSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2020";0,0;"%";"n";
0600000;"LUBELSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2021";;"%";"n";
0800000;"LUBUSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2000";0,0;"%";"x";
0800000;"LUBUSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2001";0,0;"%";"x";
0800000;"LUBUSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2002";0,0;"%";"x";
0800000;"LUBUSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2003";0,0;"%";"x";
0800000;"LUBUSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2004";108,2;"%";"";
0800000;"LUBUSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2005";106,4;"%";"";
0800000;"LUBUSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2006";105,3;"%";"";
0800000;"LUBUSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2007";105,7;"%";"";
0800000;"LUBUSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2008";105,0;"%";"";
0800000;"LUBUSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2009";99,7;"%";"";
0800000;"LUBUSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2010";103,2;"%";"";
0800000;"LUBUSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2011";103,4;"%";"";
0800000;"LUBUSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2012";102,0;"%";"";
0800000;"LUBUSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2013";100,4;"%";"";
0800000;"LUBUSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2014";104,0;"%";"";
0800000;"LUBUSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2015";103,1;"%";"";
0800000;"LUBUSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2016";102,9;"%";"";
0800000;"LUBUSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2017";103,7;"%";"";
0800000;"LUBUSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2018";104,3;"%";"";
0800000;"LUBUSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2019";103,6;"%";"";
0800000;"LUBUSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2020";0,0;"%";"n";
0800000;"LUBUSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2021";;"%";"n";
1000000;"ŁÓDZKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2000";0,0;"%";"x";
1000000;"ŁÓDZKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2001";0,0;"%";"x";
1000000;"ŁÓDZKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2002";0,0;"%";"x";
1000000;"ŁÓDZKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2003";0,0;"%";"x";
1000000;"ŁÓDZKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2004";105,1;"%";"";
1000000;"ŁÓDZKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2005";103,5;"%";"";
1000000;"ŁÓDZKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2006";106,7;"%";"";
1000000;"ŁÓDZKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2007";106,6;"%";"";
1000000;"ŁÓDZKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2008";106,0;"%";"";
1000000;"ŁÓDZKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2009";102,0;"%";"";
1000000;"ŁÓDZKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2010";104,4;"%";"";
1000000;"ŁÓDZKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2011";105,0;"%";"";
1000000;"ŁÓDZKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2012";102,1;"%";"";
1000000;"ŁÓDZKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2013";101,1;"%";"";
1000000;"ŁÓDZKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2014";104,1;"%";"";
1000000;"ŁÓDZKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2015";103,8;"%";"";
1000000;"ŁÓDZKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2016";102,3;"%";"";
1000000;"ŁÓDZKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2017";104,5;"%";"";
1000000;"ŁÓDZKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2018";104,9;"%";"";
1000000;"ŁÓDZKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2019";105,8;"%";"";
1000000;"ŁÓDZKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2020";0,0;"%";"n";
1000000;"ŁÓDZKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2021";;"%";"n";
1200000;"MAŁOPOLSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2000";0,0;"%";"x";
1200000;"MAŁOPOLSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2001";0,0;"%";"x";
1200000;"MAŁOPOLSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2002";0,0;"%";"x";
1200000;"MAŁOPOLSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2003";0,0;"%";"x";
1200000;"MAŁOPOLSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2004";106,5;"%";"";
1200000;"MAŁOPOLSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2005";103,8;"%";"";
1200000;"MAŁOPOLSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2006";104,4;"%";"";
1200000;"MAŁOPOLSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2007";104,4;"%";"";
1200000;"MAŁOPOLSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2008";105,6;"%";"";
1200000;"MAŁOPOLSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2009";102,8;"%";"";
1200000;"MAŁOPOLSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2010";102,1;"%";"";
1200000;"MAŁOPOLSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2011";105,5;"%";"";
1200000;"MAŁOPOLSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2012";100,9;"%";"";
1200000;"MAŁOPOLSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2013";100,8;"%";"";
1200000;"MAŁOPOLSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2014";103,4;"%";"";
1200000;"MAŁOPOLSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2015";105,4;"%";"";
1200000;"MAŁOPOLSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2016";103,2;"%";"";
1200000;"MAŁOPOLSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2017";105,7;"%";"";
1200000;"MAŁOPOLSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2018";105,8;"%";"";
1200000;"MAŁOPOLSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2019";104,4;"%";"";
1200000;"MAŁOPOLSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2020";0,0;"%";"n";
1200000;"MAŁOPOLSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2021";;"%";"n";
1400000;"MAZOWIECKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2000";0,0;"%";"x";
1400000;"MAZOWIECKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2001";0,0;"%";"x";
1400000;"MAZOWIECKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2002";0,0;"%";"x";
1400000;"MAZOWIECKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2003";0,0;"%";"x";
1400000;"MAZOWIECKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2004";104,5;"%";"";
1400000;"MAZOWIECKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2005";105,7;"%";"";
1400000;"MAZOWIECKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2006";107,6;"%";"";
1400000;"MAZOWIECKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2007";108,5;"%";"";
1400000;"MAZOWIECKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2008";103,1;"%";"";
1400000;"MAZOWIECKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2009";105,2;"%";"";
1400000;"MAZOWIECKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2010";104,5;"%";"";
1400000;"MAZOWIECKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2011";104,1;"%";"";
1400000;"MAZOWIECKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2012";101,3;"%";"";
1400000;"MAZOWIECKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2013";102,2;"%";"";
1400000;"MAZOWIECKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2014";103,4;"%";"";
1400000;"MAZOWIECKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2015";104,3;"%";"";
1400000;"MAZOWIECKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2016";103,9;"%";"";
1400000;"MAZOWIECKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2017";105,3;"%";"";
1400000;"MAZOWIECKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2018";106,0;"%";"";
1400000;"MAZOWIECKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2019";105,9;"%";"";
1400000;"MAZOWIECKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2020";0,0;"%";"n";
1400000;"MAZOWIECKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2021";;"%";"n";
1600000;"OPOLSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2000";0,0;"%";"x";
1600000;"OPOLSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2001";0,0;"%";"x";
1600000;"OPOLSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2002";0,0;"%";"x";
1600000;"OPOLSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2003";0,0;"%";"x";
1600000;"OPOLSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2004";105,7;"%";"";
1600000;"OPOLSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2005";98,9;"%";"";
1600000;"OPOLSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2006";104,9;"%";"";
1600000;"OPOLSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2007";108,4;"%";"";
1600000;"OPOLSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2008";100,5;"%";"";
1600000;"OPOLSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2009";99,2;"%";"";
1600000;"OPOLSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2010";102,9;"%";"";
1600000;"OPOLSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2011";104,9;"%";"";
1600000;"OPOLSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2012";100,5;"%";"";
1600000;"OPOLSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2013";100,9;"%";"";
1600000;"OPOLSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2014";104,4;"%";"";
1600000;"OPOLSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2015";102,8;"%";"";
1600000;"OPOLSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2016";101,4;"%";"";
1600000;"OPOLSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2017";104,7;"%";"";
1600000;"OPOLSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2018";105,3;"%";"";
1600000;"OPOLSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2019";104,3;"%";"";
1600000;"OPOLSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2020";0,0;"%";"n";
1600000;"OPOLSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2021";;"%";"n";
1800000;"PODKARPACKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2000";0,0;"%";"x";
1800000;"PODKARPACKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2001";0,0;"%";"x";
1800000;"PODKARPACKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2002";0,0;"%";"x";
1800000;"PODKARPACKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2003";0,0;"%";"x";
1800000;"PODKARPACKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2004";105,2;"%";"";
1800000;"PODKARPACKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2005";105,5;"%";"";
1800000;"PODKARPACKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2006";105,5;"%";"";
1800000;"PODKARPACKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2007";105,0;"%";"";
1800000;"PODKARPACKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2008";105,9;"%";"";
1800000;"PODKARPACKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2009";101,3;"%";"";
1800000;"PODKARPACKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2010";103,8;"%";"";
