"Kod";"Nazwa";"Płeć";"Lokalizacje";"Wiek";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"kobiety";"ogółem";"0";"2007";79,7;"lata";"";
0000000;"POLSKA";"kobiety";"ogółem";"0";"2008";80,0;"lata";"";
0000000;"POLSKA";"kobiety";"ogółem";"0";"2009";80,1;"lata";"";
0000000;"POLSKA";"kobiety";"ogółem";"0";"2010";80,6;"lata";"";
0000000;"POLSKA";"kobiety";"ogółem";"0";"2011";80,9;"lata";"";
0000000;"POLSKA";"kobiety";"ogółem";"0";"2012";81,0;"lata";"";
0000000;"POLSKA";"kobiety";"ogółem";"0";"2013";81,1;"lata";"";
0000000;"POLSKA";"kobiety";"ogółem";"0";"2014";81,6;"lata";"";
0000000;"POLSKA";"kobiety";"ogółem";"0";"2015";81,6;"lata";"";
0000000;"POLSKA";"kobiety";"ogółem";"0";"2016";81,9;"lata";"";
0000000;"POLSKA";"kobiety";"ogółem";"0";"2017";81,8;"lata";"";
0000000;"POLSKA";"kobiety";"ogółem";"0";"2018";81,7;"lata";"";
0000000;"POLSKA";"kobiety";"ogółem";"0";"2019";81,8;"lata";"";
0000000;"POLSKA";"kobiety";"ogółem";"0";"2020";80,7;"lata";"";
0000000;"POLSKA";"kobiety";"ogółem";"0";"2021";;"lata";"n";
0000000;"POLSKA";"kobiety";"w miastach";"0";"1995";76,1;"lata";"";
0000000;"POLSKA";"kobiety";"w miastach";"0";"1996";76,4;"lata";"";
0000000;"POLSKA";"kobiety";"w miastach";"0";"1997";76,8;"lata";"";
0000000;"POLSKA";"kobiety";"w miastach";"0";"1998";77,2;"lata";"";
0000000;"POLSKA";"kobiety";"w miastach";"0";"1999";77,3;"lata";"";
0000000;"POLSKA";"kobiety";"w miastach";"0";"2000";77,8;"lata";"";
0000000;"POLSKA";"kobiety";"w miastach";"0";"2001";78,2;"lata";"";
0000000;"POLSKA";"kobiety";"w miastach";"0";"2002";78,6;"lata";"";
0000000;"POLSKA";"kobiety";"w miastach";"0";"2003";78,8;"lata";"";
0000000;"POLSKA";"kobiety";"w miastach";"0";"2004";79,1;"lata";"";
0000000;"POLSKA";"kobiety";"w miastach";"0";"2005";79,3;"lata";"";
0000000;"POLSKA";"kobiety";"w miastach";"0";"2006";79,5;"lata";"";
0000000;"POLSKA";"kobiety";"w miastach";"0";"2007";79,6;"lata";"";
0000000;"POLSKA";"kobiety";"w miastach";"0";"2008";79,8;"lata";"";
0000000;"POLSKA";"kobiety";"w miastach";"0";"2009";80,0;"lata";"";
0000000;"POLSKA";"kobiety";"w miastach";"0";"2010";80,6;"lata";"";
0000000;"POLSKA";"kobiety";"w miastach";"0";"2011";80,9;"lata";"";
0000000;"POLSKA";"kobiety";"w miastach";"0";"2012";81,0;"lata";"";
0000000;"POLSKA";"kobiety";"w miastach";"0";"2013";81,1;"lata";"";
0000000;"POLSKA";"kobiety";"w miastach";"0";"2014";81,5;"lata";"";
0000000;"POLSKA";"kobiety";"w miastach";"0";"2015";81,5;"lata";"";
0000000;"POLSKA";"kobiety";"w miastach";"0";"2016";81,9;"lata";"";
0000000;"POLSKA";"kobiety";"w miastach";"0";"2017";81,8;"lata";"";
0000000;"POLSKA";"kobiety";"w miastach";"0";"2018";81,6;"lata";"";
0000000;"POLSKA";"kobiety";"w miastach";"0";"2019";81,7;"lata";"";
0000000;"POLSKA";"kobiety";"w miastach";"0";"2020";80,8;"lata";"";
0000000;"POLSKA";"kobiety";"w miastach";"0";"2021";;"lata";"n";
0000000;"POLSKA";"kobiety";"na wsi";"0";"1995";76,8;"lata";"";
0000000;"POLSKA";"kobiety";"na wsi";"0";"1996";76,9;"lata";"";
0000000;"POLSKA";"kobiety";"na wsi";"0";"1997";77,3;"lata";"";
0000000;"POLSKA";"kobiety";"na wsi";"0";"1998";77,7;"lata";"";
0000000;"POLSKA";"kobiety";"na wsi";"0";"1999";77,8;"lata";"";
0000000;"POLSKA";"kobiety";"na wsi";"0";"2000";78,4;"lata";"";
0000000;"POLSKA";"kobiety";"na wsi";"0";"2001";78,7;"lata";"";
0000000;"POLSKA";"kobiety";"na wsi";"0";"2002";79,1;"lata";"";
0000000;"POLSKA";"kobiety";"na wsi";"0";"2003";79,2;"lata";"";
0000000;"POLSKA";"kobiety";"na wsi";"0";"2004";79,5;"lata";"";
0000000;"POLSKA";"kobiety";"na wsi";"0";"2005";79,6;"lata";"";
0000000;"POLSKA";"kobiety";"na wsi";"0";"2006";79,9;"lata";"";
0000000;"POLSKA";"kobiety";"na wsi";"0";"2007";80,1;"lata";"";
0000000;"POLSKA";"kobiety";"na wsi";"0";"2008";80,2;"lata";"";
0000000;"POLSKA";"kobiety";"na wsi";"0";"2009";80,2;"lata";"";
0000000;"POLSKA";"kobiety";"na wsi";"0";"2010";80,7;"lata";"";
0000000;"POLSKA";"kobiety";"na wsi";"0";"2011";80,9;"lata";"";
0000000;"POLSKA";"kobiety";"na wsi";"0";"2012";81,0;"lata";"";
0000000;"POLSKA";"kobiety";"na wsi";"0";"2013";81,1;"lata";"";
0000000;"POLSKA";"kobiety";"na wsi";"0";"2014";81,7;"lata";"";
0000000;"POLSKA";"kobiety";"na wsi";"0";"2015";81,7;"lata";"";
0000000;"POLSKA";"kobiety";"na wsi";"0";"2016";81,9;"lata";"";
0000000;"POLSKA";"kobiety";"na wsi";"0";"2017";81,8;"lata";"";
0000000;"POLSKA";"kobiety";"na wsi";"0";"2018";81,6;"lata";"";
0000000;"POLSKA";"kobiety";"na wsi";"0";"2019";81,8;"lata";"";
0000000;"POLSKA";"kobiety";"na wsi";"0";"2020";80,6;"lata";"";
0000000;"POLSKA";"kobiety";"na wsi";"0";"2021";;"lata";"n";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"ogółem";"0";"1995";67,0;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"ogółem";"0";"1996";67,2;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"ogółem";"0";"1997";68,0;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"ogółem";"0";"1998";68,3;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"ogółem";"0";"1999";68,0;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"ogółem";"0";"2000";68,8;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"ogółem";"0";"2001";69,7;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"ogółem";"0";"2002";69,9;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"ogółem";"0";"2003";70,1;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"ogółem";"0";"2004";70,1;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"ogółem";"0";"2005";70,4;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"ogółem";"0";"2006";70,3;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"ogółem";"0";"2007";70,4;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"ogółem";"0";"2008";70,4;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"ogółem";"0";"2009";70,9;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"ogółem";"0";"2010";71,7;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"ogółem";"0";"2011";72,1;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"ogółem";"0";"2012";72,3;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"ogółem";"0";"2013";72,5;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"ogółem";"0";"2014";73,1;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"ogółem";"0";"2015";73,2;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"ogółem";"0";"2016";73,5;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"ogółem";"0";"2017";73,5;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"ogółem";"0";"2018";73,2;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"ogółem";"0";"2019";73,5;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"ogółem";"0";"2020";72,1;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"ogółem";"0";"2021";;"lata";"n";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"w miastach";"0";"1995";67,3;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"w miastach";"0";"1996";67,7;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"w miastach";"0";"1997";68,5;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"w miastach";"0";"1998";68,6;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"w miastach";"0";"1999";68,5;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"w miastach";"0";"2000";69,2;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"w miastach";"0";"2001";70,0;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"w miastach";"0";"2002";70,3;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"w miastach";"0";"2003";70,5;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"w miastach";"0";"2004";70,4;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"w miastach";"0";"2005";70,7;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"w miastach";"0";"2006";70,6;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"w miastach";"0";"2007";70,6;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"w miastach";"0";"2008";70,8;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"w miastach";"0";"2009";71,2;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"w miastach";"0";"2010";72,1;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"w miastach";"0";"2011";72,4;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"w miastach";"0";"2012";72,6;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"w miastach";"0";"2013";72,7;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"w miastach";"0";"2014";73,4;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"w miastach";"0";"2015";73,4;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"w miastach";"0";"2016";74,0;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"w miastach";"0";"2017";73,9;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"w miastach";"0";"2018";73,6;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"w miastach";"0";"2019";73,7;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"w miastach";"0";"2020";72,3;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"w miastach";"0";"2021";;"lata";"n";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"na wsi";"0";"1995";66,1;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"na wsi";"0";"1996";66,3;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"na wsi";"0";"1997";66,7;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"na wsi";"0";"1998";67,5;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"na wsi";"0";"1999";66,7;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"na wsi";"0";"2000";67,9;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"na wsi";"0";"2001";68,8;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"na wsi";"0";"2002";69,0;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"na wsi";"0";"2003";69,2;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"na wsi";"0";"2004";69,5;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"na wsi";"0";"2005";69,6;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"na wsi";"0";"2006";69,7;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"na wsi";"0";"2007";69,8;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"na wsi";"0";"2008";69,6;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"na wsi";"0";"2009";70,3;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"na wsi";"0";"2010";70,7;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"na wsi";"0";"2011";71,2;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"na wsi";"0";"2012";71,4;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"na wsi";"0";"2013";71,9;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"na wsi";"0";"2014";72,4;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"na wsi";"0";"2015";72,6;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"na wsi";"0";"2016";72,3;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"na wsi";"0";"2017";72,6;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"na wsi";"0";"2018";72,5;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"na wsi";"0";"2019";72,7;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"na wsi";"0";"2020";71,7;"lata";"";
0200000;"DOLNOŚLĄSKIE";"mężczyźni";"na wsi";"0";"2021";;"lata";"n";
0200000;"DOLNOŚLĄSKIE";"kobiety";"ogółem";"0";"1995";75,7;"lata";"";
0200000;"DOLNOŚLĄSKIE";"kobiety";"ogółem";"0";"1996";75,9;"lata";"";
0200000;"DOLNOŚLĄSKIE";"kobiety";"ogółem";"0";"1997";76,7;"lata";"";
0200000;"DOLNOŚLĄSKIE";"kobiety";"ogółem";"0";"1998";77,0;"lata";"";
0200000;"DOLNOŚLĄSKIE";"kobiety";"ogółem";"0";"1999";76,9;"lata";"";
0200000;"DOLNOŚLĄSKIE";"kobiety";"ogółem";"0";"2000";77,6;"lata";"";
0200000;"DOLNOŚLĄSKIE";"kobiety";"ogółem";"0";"2001";78,1;"lata";"";
0200000;"DOLNOŚLĄSKIE";"kobiety";"ogółem";"0";"2002";78,2;"lata";"";
0200000;"DOLNOŚLĄSKIE";"kobiety";"ogółem";"0";"2003";78,4;"lata";"";
0200000;"DOLNOŚLĄSKIE";"kobiety";"ogółem";"0";"2004";78,6;"lata";"";
0200000;"DOLNOŚLĄSKIE";"kobiety";"ogółem";"0";"2005";78,9;"lata";"";
0200000;"DOLNOŚLĄSKIE";"kobiety";"ogółem";"0";"2006";79,1;"lata";"";
0200000;"DOLNOŚLĄSKIE";"kobiety";"ogółem";"0";"2007";79,0;"lata";"";
0200000;"DOLNOŚLĄSKIE";"kobiety";"ogółem";"0";"2008";79,0;"lata";"";
0200000;"DOLNOŚLĄSKIE";"kobiety";"ogółem";"0";"2009";79,4;"lata";"";
0200000;"DOLNOŚLĄSKIE";"kobiety";"ogółem";"0";"2010";80,2;"lata";"";
0200000;"DOLNOŚLĄSKIE";"kobiety";"ogółem";"0";"2011";80,5;"lata";"";
0200000;"DOLNOŚLĄSKIE";"kobiety";"ogółem";"0";"2012";80,3;"lata";"";
0200000;"DOLNOŚLĄSKIE";"kobiety";"ogółem";"0";"2013";80,9;"lata";"";
0200000;"DOLNOŚLĄSKIE";"kobiety";"ogółem";"0";"2014";81,1;"lata";"";
0200000;"DOLNOŚLĄSKIE";"kobiety";"ogółem";"0";"2015";81,0;"lata";"";
0200000;"DOLNOŚLĄSKIE";"kobiety";"ogółem";"0";"2016";81,4;"lata";"";
0200000;"DOLNOŚLĄSKIE";"kobiety";"ogółem";"0";"2017";81,1;"lata";"";
0200000;"DOLNOŚLĄSKIE";"kobiety";"ogółem";"0";"2018";81,3;"lata";"";
0200000;"DOLNOŚLĄSKIE";"kobiety";"ogółem";"0";"2019";81,3;"lata";"";
0200000;"DOLNOŚLĄSKIE";"kobiety";"ogółem";"0";"2020";80,6;"lata";"";
0200000;"DOLNOŚLĄSKIE";"kobiety";"ogółem";"0";"2021";;"lata";"n";
0200000;"DOLNOŚLĄSKIE";"kobiety";"w miastach";"0";"1995";75,8;"lata";"";
0200000;"DOLNOŚLĄSKIE";"kobiety";"w miastach";"0";"1996";75,8;"lata";"";
0200000;"DOLNOŚLĄSKIE";"kobiety";"w miastach";"0";"1997";76,7;"lata";"";
0200000;"DOLNOŚLĄSKIE";"kobiety";"w miastach";"0";"1998";77,0;"lata";"";
0200000;"DOLNOŚLĄSKIE";"kobiety";"w miastach";"0";"1999";76,8;"lata";"";
0200000;"DOLNOŚLĄSKIE";"kobiety";"w miastach";"0";"2000";77,5;"lata";"";
0200000;"DOLNOŚLĄSKIE";"kobiety";"w miastach";"0";"2001";78,2;"lata";"";
0200000;"DOLNOŚLĄSKIE";"kobiety";"w miastach";"0";"2002";78,3;"lata";"";
0200000;"DOLNOŚLĄSKIE";"kobiety";"w miastach";"0";"2003";78,5;"lata";"";
0200000;"DOLNOŚLĄSKIE";"kobiety";"w miastach";"0";"2004";78,6;"lata";"";
0200000;"DOLNOŚLĄSKIE";"kobiety";"w miastach";"0";"2005";79,1;"lata";"";
0200000;"DOLNOŚLĄSKIE";"kobiety";"w miastach";"0";"2006";79,0;"lata";"";
0200000;"DOLNOŚLĄSKIE";"kobiety";"w miastach";"0";"2007";79,0;"lata";"";
0200000;"DOLNOŚLĄSKIE";"kobiety";"w miastach";"0";"2008";79,1;"lata";"";
0200000;"DOLNOŚLĄSKIE";"kobiety";"w miastach";"0";"2009";79,4;"lata";"";
0200000;"DOLNOŚLĄSKIE";"kobiety";"w miastach";"0";"2010";80,2;"lata";"";
0200000;"DOLNOŚLĄSKIE";"kobiety";"w miastach";"0";"2011";80,5;"lata";"";
0200000;"DOLNOŚLĄSKIE";"kobiety";"w miastach";"0";"2012";80,5;"lata";"";
0200000;"DOLNOŚLĄSKIE";"kobiety";"w miastach";"0";"2013";80,9;"lata";"";
0200000;"DOLNOŚLĄSKIE";"kobiety";"w miastach";"0";"2014";81,2;"lata";"";
0200000;"DOLNOŚLĄSKIE";"kobiety";"w miastach";"0";"2015";81,1;"lata";"";
0200000;"DOLNOŚLĄSKIE";"kobiety";"w miastach";"0";"2016";81,5;"lata";"";
0200000;"DOLNOŚLĄSKIE";"kobiety";"w miastach";"0";"2017";81,2;"lata";"";
0200000;"DOLNOŚLĄSKIE";"kobiety";"w miastach";"0";"2018";81,5;"lata";"";
0200000;"DOLNOŚLĄSKIE";"kobiety";"w miastach";"0";"2019";81,4;"lata";"";
0200000;"DOLNOŚLĄSKIE";"kobiety";"w miastach";"0";"2020";80,9;"lata";"";
0200000;"DOLNOŚLĄSKIE";"kobiety";"w miastach";"0";"2021";;"lata";"n";
0200000;"DOLNOŚLĄSKIE";"kobiety";"na wsi";"0";"1995";75,7;"lata";"";
0200000;"DOLNOŚLĄSKIE";"kobiety";"na wsi";"0";"1996";76,2;"lata";"";
0200000;"DOLNOŚLĄSKIE";"kobiety";"na wsi";"0";"1997";76,7;"lata";"";
